uf,codigo_municipio_dv,municipio,evento,ano,mes,agente,arma,faixa_etaria,feminino,masculino,nao_informado,total,total_peso,abrangencia,formulario,total_vitimas
MG,3170404,UNAÍ,Mandado de prisão cumprido,2022,04,,,,,,,13.0,,Estadual,Formulário 8,
BA,2903235,BARRO ALTO,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
BA,5203203,BARRO ALTO,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,ÁGUAS CLARAS,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,ARNIQUEIRA,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,BRAZLÂNDIA,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,CANDANGOLÂNDIA,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,CEILÂNDIA,Mandado de prisão cumprido,2022,05,,,,,,,2.0,,Estadual,Formulário 8,
DF,5300108,FERCAL,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,GAMA,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,ITAPOÃ,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,JARDIM BOTÂNICO,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,LAGO NORTE,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,LAGO SUL,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,NÚCLEO BANDEIRANTE,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,PARANOÁ,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,PARK WAY,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5217609,PLANALTINA,Mandado de prisão cumprido,2022,05,,,,,,,1.0,,Estadual,Formulário 8,
DF,5300108,RECANTO DAS EMAS,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,RIACHO FUNDO,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,RIACHO FUNDO II,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,SAMAMBAIA,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,SCIA,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,SIA,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,SOBRADINHO II,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,SOL NASCENTE/PÔR DO SOL,Mandado de prisão cumprido,2022,05,,,,,,,1.0,,Estadual,Formulário 8,
DF,5300108,SUDOESTE/OCTOGONAL,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
DF,5300108,VICENTE PIRES,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
GO,5200100,ABADIÂNIA,Mandado de prisão cumprido,2022,05,,,,,,,0.0,,Estadual,Formulário 8,
